time,mnvel,errvel,tel,SVAL
10463.170531999785,-63.48599289547684,1.0946983,k,
10547.041978999972,-67.91739700924637,1.1626251,k,
10838.155046000145,-59.211487280242466,1.0831767,k,
10954.927072000224,-63.28987167965653,1.6117071,k,
11200.118542000186,-57.69971512448075,1.244437,k,
11310.947893999983,-63.832581030242466,1.3422345,k,
11342.842697000131,-59.09409378659012,1.440421,k,
11373.845751999877,-55.15731857907059,1.7051703,k,
11553.174930999987,-59.81583450924637,1.341278,k,
11585.058889000211,-58.71601914059403,1.2534747,k,
11585.062210999895,-57.344353186004184,1.0742953,k,
11703.829317000229,-65.47783707272293,1.5282904,k,
11983.067210999783,-60.31175278317215,1.2602236,k,
12002.98446800001,-60.74252365719559,1.5344592,k,
12003.899780000094,-55.09849594723465,1.5946064,k,
12098.838889000006,-63.06821488034012,1.4968023,k,
12335.060926000122,-55.54904984127762,1.6068059,k,
12683.032083000056,-60.88661240231278,1.4143329,k,
12806.8390279999,-62.970207678191684,1.4017613,k,
13074.066076000221,-59.68442581784012,1.4165258,k,
13240.774906999897,-61.23390868283741,1.315306,j,0.16200000047683716
13425.958519000094,-57.834671484344014,1.1086596,j,0.16300000250339508
15189.168023000006,-54.05203880744518,1.2970755,j,0.16300000250339508
15198.177044999786,-58.49357104492775,1.3106254,j,0.16099999845027924
15607.18074099999,-57.066158324288736,1.4389756,j,0.16200000047683716
16632.079256999772,-62.568808667751796,3.4685087,a,0.125039376225
16637.16636800021,-55.3664982857702,1.3099244,j,0.16009999811649323
16668.031413000077,-50.36884621632703,2.8787673,a,0.127022104515
16710.02457999997,-55.35928744049889,3.0184288,a,0.12197723577099999
16757.89300499996,-37.259522128395375,2.8914876,a,0.124399357956
17121.84151600022,-41.10550927111848,3.3474362,a,0.13098759281300001
17121.850335000083,-43.47875901973951,3.1282856,a,0.126589662619
17124.856240999885,-43.64998524394183,2.8911831,a,0.121820224475
17125.84245799994,-36.91247910670572,2.6178114,a,0.122834632756
17127.804088000208,-39.46323304888938,3.2672093,a,0.12405065296199999
17130.87225600006,-43.32698081272938,3.0309684,a,0.130669806013
17132.842920999974,-48.362876849537564,2.8778305,a,0.125729367167
17133.829402999952,-48.65397415091353,6.664514,a,0.113859108731
17135.822778999805,-44.34577958675945,3.2751641,a,0.132880191877
17142.81809599977,-37.70439718921036,3.041435,a,0.125630806788
17143.796471999958,-46.94313634060935,3.0847542,a,0.129614637818
17145.892359000165,-42.905254514670375,3.1962826,a,0.12638222363600002
17148.728422000073,-38.56210785107719,3.1088872,a,0.117909794405
17229.738007000182,-49.753332797694384,1.4480304,j,0.1607999950647354
17465.929703,-44.5471540611791,3.3259592,a,0.126086568728
17495.860162999947,-35.36738177841795,3.1981838,a,0.12771108891799998
17496.87249299977,-34.072397841925785,3.102145,a,0.132539779236
17498.778504000045,-35.42396819314473,3.2497528,a,0.129923954463
17612.72409000015,-33.77223193808118,1.5903603,j,0.163100004196167
17708.05942900013,-30.59292554078737,3.5243897,a,0.134170184058
17796.107040999923,-19.49912368595603,1.5691963,j,0.1624000072479248
